Locale_Key,Locale
1,_Blank
193,ar_AE
196,ar_BH
201,ar_DZ
199,ar_EG
205,ar_IQ
211,ar_JO
208,ar_KW
209,ar_LB
213,ar_LY
214,ar_MA
220,ar_OM
221,ar_QA
223,ar_SA
224,ar_SD
225,ar_SY
227,ar_TN
231,ar_YE
235,az_AZ
197,be_BY
14,bg_BG
236,bs_BA
200,ca_ES
15,cs_CZ
152,da_DK
159,de_AT
160,de_CH
2,de_DE
170,de_LU
165,el_CY
16,el_GR
239,en_AE
9,en_AU
10,en_CA
158,en_CN
3,en_GB
234,en_HK
240,en_ID
4,en_IE
244,en_IL
189,en_IN
237,en_IS
233,en_JP
186,en_MT
241,en_MY
11,en_NZ
178,en_PH
242,en_SA
169,en_SG
12,en_US
243,en_VN
155,en_ZA
182,es_AR
172,es_BO
166,es_CL
187,es_CO
174,es_CR
191,es_DO
181,es_EC
5,es_ES
175,es_GT
168,es_HN
156,es_MX
163,es_NI
179,es_PA
171,es_PE
173,es_PR
188,es_PY
177,es_SV
246,es_US
180,es_UY
162,es_VE
198,et_EE
26,fi_FI
164,fr_BE
183,fr_CA
185,fr_CH
6,fr_FR
167,fr_LU
232,fr_MA
202,ga_IE
203,he_IL
204,hi_IN
17,hr_HR
18,hu_HU
206,is_IS
176,it_CH
7,it_IT
13,ja_JP
238,kk_KZ
207,ko_KR
210,lt_LT
212,lv_LV
216,mk_MK
218,ms_MY
217,mt_MT
19,nb_NO
161,nl_BE
8,nl_NL
219,no_NO
20,pl_PL
157,pt_BR
21,pt_PT
22,ro_RO
245,ru_KZ
153,ru_RU
23,sk_SK
24,sl_SI
194,sq_AL
195,sr_BA
215,sr_ME
222,sr_RS
27,sv_SE
226,th_TH
228,tr_TR
229,uk_UA
-1,Unknown
0,Unknown
230,vi_VN
154,zh_CN
190,zh_HK
192,zh_SG
184,zh_TW
